step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
134	0x1.0dbd0e0000000p-3	0x1.662e8e0000000p+4	0x1.feaaaa0000000p+3	0x1.f5ce4e0000000p+3	0x1.c2dda80000000p+10
135	0x1.cd48c00000000p-4	0x1.afbe940000000p+2	0x1.3d0a000000000p+2	0x1.2317380000000p+2	0x1.c2dda80000000p+10
136	0x1.017aae0000000p-3	0x1.a697600000000p+2	0x1.444d0e0000000p+2	0x1.0c2f340000000p+2	0x1.c2dda80000000p+10
137	0x1.d53c2a0000000p-4	0x1.6f1c4a0000000p+3	0x1.f28ba20000000p+2	0x1.0bc4b00000000p+3	0x1.c2dda80000000p+10
138	0x1.a030b40000000p-4	0x1.bca7520000000p+2	0x1.50094c0000000p+2	0x1.2076260000000p+2	0x1.c2dda80000000p+10
139	0x1.517f6c0000000p-4	0x1.06b3aa0000000p+3	0x1.91faee0000000p+2	0x1.50d2440000000p+2	0x1.c2dda80000000p+10
140	0x1.c0abb40000000p-4	0x1.8669fc0000000p+2	0x1.4069840000000p+2	0x1.b939840000000p+1	0x1.c2dda80000000p+10
141	0x1.c5e4600000000p-4	0x1.177b8e0000000p+2	0x1.98653c0000000p+1	0x1.76e53a0000000p+1	0x1.c2dda80000000p+10
142	0x1.07c83a0000000p-3	0x1.1c777e0000000p+2	0x1.acfb380000000p+1	0x1.7108e20000000p+1	0x1.c2dda80000000p+10
143	0x1.e1a37e0000000p-4	0x1.cb95000000000p+2	0x1.2bc65c0000000p+2	0x1.5a7cf60000000p+2	0x1.c2dda80000000p+10
144	0x1.2fab900000000p-3	0x1.503cfc0000000p+7	0x1.ea4ae20000000p+6	0x1.cc3c6e0000000p+6	0x1.c2dda80000000p+10
145	0x1.983bea0000000p-4	0x1.39021e0000000p+2	0x1.d2da8a0000000p+1	0x1.9ba0c60000000p+1	0x1.c2dda80000000p+10
146	0x1.b885400000000p-4	0x1.a300160000000p+2	0x1.3c37a40000000p+2	0x1.10fd9a0000000p+2	0x1.c2dda60000000p+10
